ssc_code16,ssc_name16,schools
20002,Abbotsford (Vic.),2
20003,Aberfeldie,4
20013,Airly,1
20014,Airport West,2
20016,Albanvale,1
20018,Alberton (Vic.),1
20017,Albert Park (Vic.),2
20020,Albion (Vic.),2
20021,Alexandra (Vic.),3
20022,Alfredton,2
20027,Allansford,1
20033,Alphington,3
20035,Altona Meadows,3
20036,Altona North,3
20034,Altona (Vic.),4
20037,Alvie,1
20040,Amphitheatre,1
20041,Anakie,1
20045,Anglesea,1
20048,Apollo Bay (Vic.),1
20051,Apsley (Vic.),1
20052,Ararat,6
20061,Ardeer,2
20062,Ardmona,1
20065,Armadale (Vic.),3
20067,Armstrong Creek (Vic.),1
20070,Arthurs Creek,1
20074,Ascot Vale,4
20076,Ashburton,3
20077,Ashwood,4
20078,Aspendale,4
20079,Aspendale Gardens,1
20085,Avenel,1
20086,Avoca (Vic.),1
20088,Avondale Heights,2
20091,Axe Creek,1
20092,Axedale,1
20094,Bacchus Marsh,2
20096,Badger Creek,1
20102,Bairnsdale,8
20107,Ballan,2
20110,Ballarat Central,2
20111,Ballarat East,3
20112,Ballarat North,1
20115,Balliang East,1
20118,Balmoral (Vic.),1
20119,Balnarring,1
20122,Balwyn,3
20123,Balwyn North,7
20128,Bandiana,1
20130,Bangholme,1
20132,Bannockburn (Vic.),1
20135,Baranduda,2
20137,Baringhup,1
20145,Barnawartha,1
20161,Barwon Heads,1
20168,Baxter,1
20170,Bayles,1
20173,Bayswater North,1
20172,Bayswater (Vic.),5
20175,Beaconsfield Upper,1
20174,Beaconsfield (Vic.),2
20176,Bealiba,1
20180,Beaufort (Vic.),2
20181,Beaumaris (Vic.),3
20183,Beeac,1
20185,Beechworth,4
20187,Belgrave,3
20189,Belgrave South,1
20194,Bellbrae,1
20197,Bellfield (Banyule - Vic.),1
20190,Bell Park,4
20191,Bell Post Hill,3
20200,Belmont (Vic.),8
20203,Benalla,5
20207,Bendigo,7
20213,Bentleigh,4
20214,Bentleigh East,7
20223,Berwick,13
20228,Bethanga,1
20230,Beulah (Vic.),1
20231,Beverford,1
20232,Beveridge,1
20234,Big Hill (Greater Bendigo - Vic.),1
20243,Birchip,1
20246,Birregurra,1
20247,Bittern,1
20251,Blackburn,5
20252,Blackburn North,3
20253,Blackburn South,3
20248,Black Hill (Vic.),1
20250,Black Rock (Vic.),2
20260,Blowhard,1
20264,Bogong,1
20269,Boisdale,1
20271,Bolinda,1
20273,Bolwarra (Vic.),1
20275,Bona Vista,1
20277,Bonbeach,1
20279,Boneo,1
20286,Boolarra,1
20298,Boort,1
20302,Boronia,5
20313,Box Hill North,3
20314,Box Hill South,2
20312,Box Hill (Vic.),3
20320,Branxholme,1
20322,Braybrook,6
20328,Briagolong,1
20329,Briar Hill,2
20333,Bridgewater On Loddon,1
20336,Brighton East,4
20335,Brighton (Vic.),8
20334,Bright (Vic.),1
20343,Broadford,2
20344,Broadmeadows (Vic.),8
20347,Broken Creek,1
20349,Brookfield (Vic.),1
20350,Brooklyn (Vic.),1
